2023-11-28 22:43:07,320 INFO    StreamThr :16352 [internal.py:wandb_internal():86] W&B internal server running at pid: 16352, started at: 2023-11-28 22:43:07.320104
2023-11-28 22:43:07,321 DEBUG   HandlerThread:16352 [handler.py:handle_request():146] handle_request: status
2023-11-28 22:43:07,322 INFO    WriterThread:16352 [datastore.py:open_for_write():85] open: /home/erichu/Documents/YOLOv7-POSE-on-Xraybone-Dataset/wandb/run-20231128_224307-pocs0a0l/run-pocs0a0l.wandb
2023-11-28 22:43:07,322 DEBUG   SenderThread:16352 [sender.py:send():380] send: header
2023-11-28 22:43:07,330 DEBUG   SenderThread:16352 [sender.py:send():380] send: run
2023-11-28 22:43:07,335 INFO    SenderThread:16352 [sender.py:_maybe_setup_resume():759] checking resume status for None/YOLOv5/pocs0a0l
2023-11-28 22:43:08,647 INFO    SenderThread:16352 [dir_watcher.py:__init__():211] watching files in: /home/erichu/Documents/YOLOv7-POSE-on-Xraybone-Dataset/wandb/run-20231128_224307-pocs0a0l/files
2023-11-28 22:43:08,647 INFO    SenderThread:16352 [sender.py:_start_run_threads():1124] run started: pocs0a0l with start time 1701182587.319963
2023-11-28 22:43:08,651 DEBUG   HandlerThread:16352 [handler.py:handle_request():146] handle_request: check_version
2023-11-28 22:43:08,652 DEBUG   SenderThread:16352 [sender.py:send_request():407] send_request: check_version
2023-11-28 22:43:08,948 DEBUG   HandlerThread:16352 [handler.py:handle_request():146] handle_request: run_start
2023-11-28 22:43:08,971 DEBUG   HandlerThread:16352 [system_info.py:__init__():32] System info init
2023-11-28 22:43:08,971 DEBUG   HandlerThread:16352 [system_info.py:__init__():47] System info init done
2023-11-28 22:43:08,971 INFO    HandlerThread:16352 [system_monitor.py:start():194] Starting system monitor
2023-11-28 22:43:08,971 INFO    SystemMonitor:16352 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-28 22:43:08,972 INFO    HandlerThread:16352 [system_monitor.py:probe():214] Collecting system info
2023-11-28 22:43:08,972 INFO    SystemMonitor:16352 [interfaces.py:start():190] Started cpu monitoring
2023-11-28 22:43:08,972 INFO    SystemMonitor:16352 [interfaces.py:start():190] Started disk monitoring
2023-11-28 22:43:08,973 INFO    SystemMonitor:16352 [interfaces.py:start():190] Started gpu monitoring
2023-11-28 22:43:08,973 INFO    SystemMonitor:16352 [interfaces.py:start():190] Started memory monitoring
2023-11-28 22:43:08,973 INFO    SystemMonitor:16352 [interfaces.py:start():190] Started network monitoring
2023-11-28 22:43:09,017 DEBUG   HandlerThread:16352 [system_info.py:probe():196] Probing system
2023-11-28 22:43:09,019 DEBUG   HandlerThread:16352 [system_info.py:_probe_git():181] Probing git
2023-11-28 22:43:09,024 DEBUG   HandlerThread:16352 [system_info.py:_probe_git():189] Probing git done
2023-11-28 22:43:09,024 DEBUG   HandlerThread:16352 [system_info.py:probe():244] Probing system done
